,Real,Prediccion
Hoy,"$8,037.54","$8,384.44"
1,"$8,192.49","$8,464.26"
2,"$8,144.19","$8,544.43"
3,"$8,827.76","$8,600.21"
4,"$8,807.01","$8,723.67"
5,"$8,723.79","$8,855.14"
6,"$8,929.04","$8,965.36"
7,"$8,942.81","$9,079.11"
8,"$8,706.25","$9,185.83"
9,"$8,657.64","$9,250.36"
10,"$8,745.89","$9,278.53"
11,"$8,680.88","$9,299.51"
12,"$8,406.52","$9,300.71"
13,"$8,445.43","$9,261.35"
14,"$8,367.85","$9,205.89"
15,"$8,596.83","$9,144.55"
16,"$8,909.82","$9,116.29"
17,"$9,358.59","$9,138.49"
18,"$9,316.63","$9,236.64"
19,"$9,508.99","$9,355.62"
20,"$9,350.53","$9,497.40"
21,"$9,392.88","$9,612.36"
22,"$9,344.37","$9,711.74"
23,"$9,293.52","$9,787.27"
24,"$9,180.96","$9,832.81"
25,"$9,613.42","$9,845.36"
26,"$9,729.80","$9,889.62"
27,"$9,795.94","$9,949.74"
28,"$9,865.12","$10,017.48"
29,"$10,116.67","$10,095.62"
30,"$9,856.61","$10,198.35"
31,"$10,208.24","$10,270.76"
32,"$10,326.05","$10,366.36"
33,"$10,214.38","$10,471.55"
34,"$10,312.12","$10,555.38"
35,"$9,889.42","$10,634.23"
36,"$9,934.43","$10,641.44"
37,"$9,690.14","$10,627.69"
38,"$10,142.00","$10,572.10"
39,"$9,633.39","$10,560.07"
40,"$9,608.48","$10,497.50"
41,"$9,686.44","$10,429.26"
42,"$9,663.18","$10,366.96"
43,"$9,924.52","$10,312.33"
44,"$9,650.17","$10,302.96"
45,"$9,341.71","$10,277.63"
46,"$8,820.52","$10,221.47"
47,"$8,784.49","$10,091.74"
48,"$8,672.46","$9,944.88"
49,"$8,599.51","$9,781.46"
50,"$8,562.45","$9,629.93"
51,"$8,869.67","$9,491.66"
52,"$8,787.79","$9,411.65"
53,"$8,755.25","$9,356.53"
54,"$9,078.76","$9,316.67"
55,"$9,122.55","$9,335.79"
56,"$8,909.95","$9,384.19"
57,"$8,108.12","$9,420.30"
58,"$7,923.64","$9,348.10"
59,"$7,909.73","$9,219.60"
60,"$7,911.43","$9,072.90"
61,"$4,970.79","$8,930.15"
62,"$5,563.71","$8,447.43"
63,"$5,200.37","$7,966.81"
64,"$5,392.31","$7,472.62"
65,"$5,014.48","$7,047.63"
66,"$5,225.63","$6,658.43"
67,"$5,238.44","$6,364.84"
68,"$6,191.19","$6,158.26"
69,"$6,198.78","$6,125.70"
70,"$6,185.07","$6,174.73"
71,"$5,830.25","$6,265.21"
72,"$6,416.31","$6,364.35"
73,"$6,734.80","$6,491.07"
74,"$6,681.06","$6,657.10"
75,"$6,716.44","$6,809.53"
76,"$6,469.80","$6,951.46"
77,"$6,242.19","$7,035.88"
78,"$5,922.04","$7,060.04"
79,"$6,429.84","$7,003.36"
80,"$6,438.64","$6,984.63"
81,"$6,606.78","$6,978.85"
82,"$6,793.62","$7,005.14"
83,"$6,733.39","$7,054.17"
84,"$6,867.53","$7,103.88"
85,"$6,791.13","$7,171.18"
86,"$7,271.78","$7,228.73"
87,"$7,176.41","$7,337.15"
88,"$7,334.10","$7,441.15"
89,"$7,302.09","$7,554.52"
90,"$6,865.49","$7,644.46"
91,"$6,859.08","$7,667.20"
92,"$6,971.09","$7,656.67"
93,"$6,845.04","$7,640.92"
94,"$6,842.43","$7,609.10"
95,"$6,642.11","$7,571.63"
96,"$7,116.80","$7,513.27"
97,"$7,096.18","$7,503.19"
98,"$7,257.67","$7,515.18"
99,"$7,189.42","$7,555.94"
100,"$6,881.96","$7,599.65"
101,"$6,880.32","$7,610.66"
102,"$7,117.21","$7,603.37"
103,"$7,429.72","$7,612.74"
104,"$7,550.90","$7,665.20"
105,"$7,569.94","$7,743.00"
106,"$7,679.87","$7,829.64"
107,"$7,795.60","$7,917.57"
108,"$7,807.06","$8,014.91"
109,"$8,801.04","$8,104.64"
110,"$8,658.55","$8,302.79"
111,"$8,864.77","$8,505.32"
112,"$8,988.60","$8,715.76"
113,"$8,897.47","$8,916.66"
114,"$8,912.65","$9,077.58"
115,"$9,003.07","$9,206.14"
116,"$9,268.76","$9,314.93"
117,"$9,951.52","$9,430.34"
118,"$9,842.67","$9,614.34"
119,"$9,593.90","$9,790.33"
120,"$8,756.43","$9,906.45"
121,"$8,601.80","$9,894.43"
122,"$8,804.48","$9,808.61"
123,"$9,269.99","$9,717.55"
124,"$9,733.72","$9,686.11"
125,"$9,328.20","$9,735.39"
126,"$9,377.01","$9,764.64"
127,"$9,670.74","$9,794.64"
128,"$9,726.58","$9,851.70"
129,"$9,729.04","$9,927.57"
130,"$9,522.98","$10,007.49"
131,"$9,081.76","$10,062.87"
132,"$9,182.58","$10,041.59"
133,"$9,209.29","$9,997.72"
134,"$8,790.37","$9,942.50"
135,"$8,906.93","$9,835.24"
136,"$8,835.05","$9,744.00"
137,"$9,181.02","$9,653.18"
138,"$9,525.75","$9,613.06"
139,"$9,439.12","$9,641.92"
140,"$9,700.41","$9,689.42"
141,"$9,461.06","$9,779.81"
142,"$10,167.27","$9,852.25"
143,"$9,529.80","$9,993.40"
144,"$9,656.72","$10,064.38"
145,"$9,800.64","$10,126.04"
146,"$9,665.53","$10,183.02"
147,"$9,653.68","$10,213.70"
148,"$9,758.85","$10,223.73"
149,"$9,771.49","$10,234.21"
150,"$9,795.70","$10,247.77"
151,"$9,870.09","$10,260.58"
152,"$9,321.78","$10,285.96"
153,"$9,480.84","$10,236.35"
154,"$9,475.28","$10,198.25"
155,"$9,386.79","$10,155.72"
156,"$9,450.70","$10,104.46"
157,"$9,538.02","$10,066.62"
158,"$9,480.25","$10,047.61"
159,"$9,411.84","$10,030.77"
160,"$9,288.02","$10,011.31"
161,"$9,332.34","$9,978.82"
162,"$9,303.63","$9,950.12"
163,"$9,648.72","$9,928.63"
164,"$9,629.66","$9,947.88"
165,"$9,313.61","$9,979.28"
166,"$9,264.81","$9,977.89"
167,"$9,162.92","$9,958.26"
168,"$9,045.39","$9,918.34"
169,"$9,143.58","$9,860.75"
170,"$9,190.85","$9,813.68"
171,"$9,137.99","$9,780.88"
172,"$9,228.33","$9,750.05"
173,"$9,123.41","$9,736.68"
174,"$9,087.30","$9,715.36"
175,"$9,132.49","$9,694.50"
176,"$9,073.94","$9,685.57"
177,"$9,375.47","$9,672.79"
178,"$9,252.28","$9,697.85"
179,"$9,428.33","$9,719.38"
180,"$9,277.97","$9,759.24"
181,"$9,278.81","$9,783.29"
182,"$9,240.35","$9,801.28"
183,"$9,276.50","$9,807.41"
184,"$9,243.61","$9,813.80"
185,"$9,243.21","$9,813.80"
186,"$9,192.84","$9,810.02"
187,"$9,132.23","$9,799.45"
188,"$9,151.39","$9,775.90"
189,"$9,159.04","$9,756.10"
190,"$9,185.82","$9,737.33"
191,"$9,164.23","$9,727.93"
192,"$9,374.89","$9,719.72"
193,"$9,525.36","$9,739.67"
194,"$9,581.07","$9,785.81"
195,"$9,536.89","$9,846.42"
196,"$9,677.11","$9,902.31"
197,"$9,905.17","$9,968.78"
198,"$10,990.87","$10,058.89"
199,"$10,912.82","$10,279.78"
200,"$11,100.47","$10,516.40"
201,"$11,111.21","$10,764.85"
202,"$11,323.47","$10,991.88"
203,"$11,759.59","$11,207.45"
204,"$11,053.61","$11,443.97"
205,"$11,246.35","$11,570.68"
206,"$11,205.89","$11,666.71"
207,"$11,747.02","$11,721.71"
208,"$11,779.77","$11,815.47"
209,"$11,601.47","$11,901.97"
210,"$11,754.05","$11,967.17"
211,"$11,675.74","$12,034.65"
212,"$11,878.11","$12,084.38"
213,"$11,410.53","$12,144.52"
214,"$11,584.93","$12,138.25"
215,"$11,784.14","$12,142.56"
216,"$11,768.87","$12,161.08"
217,"$11,865.70","$12,181.37"
218,"$11,892.80","$12,207.22"
219,"$12,254.40","$12,240.33"
220,"$11,991.23","$12,321.16"
221,"$11,758.28","$12,374.40"
222,"$11,878.37","$12,388.11"
223,"$11,592.49","$12,395.84"
224,"$11,681.83","$12,367.15"
225,"$11,664.85","$12,332.60"
226,"$11,774.60","$12,292.86"
227,"$11,366.13","$12,271.00"
228,"$11,488.36","$12,206.22"
229,"$11,323.40","$12,151.25"
230,"$11,542.50","$12,079.14"
231,"$11,506.87","$12,043.77"
232,"$11,711.51","$12,021.48"
233,"$11,680.82","$12,031.82"
234,"$11,970.48","$12,054.67"
235,"$11,414.03","$12,115.45"
236,"$10,245.30","$12,115.49"
237,"$10,511.81","$11,950.11"
238,"$10,169.57","$11,777.39"
239,"$10,280.35","$11,559.64"
240,"$10,369.56","$11,364.88"
241,"$10,131.52","$11,205.73"
242,"$10,242.35","$11,054.30"
243,"$10,363.14","$10,940.18"
244,"$10,400.92","$10,873.16"
245,"$10,442.17","$10,838.11"
246,"$10,323.76","$10,838.84"
247,"$10,680.84","$10,850.58"
248,"$10,796.95","$10,897.79"
249,"$10,974.91","$10,972.09"
250,"$10,948.99","$11,068.59"
251,"$10,944.59","$11,160.69"
252,"$11,094.35","$11,245.12"
253,"$10,938.27","$11,331.19"
254,"$10,462.26","$11,386.13"
255,"$10,538.46","$11,364.33"
256,"$10,246.19","$11,322.89"
257,"$10,760.07","$11,237.07"
258,"$10,692.72","$11,200.67"
259,"$10,750.72","$11,176.37"
260,"$10,775.27","$11,170.79"
261,"$10,709.65","$11,180.25"
262,"$10,844.64","$11,188.50"
263,"$10,784.49","$11,212.11"
264,"$10,619.45","$11,234.49"
265,"$10,575.97","$11,238.71"
266,"$10,549.33","$11,224.58"
267,"$10,669.58","$11,202.99"
268,"$10,793.34","$11,185.71"
269,"$10,604.41","$11,191.46"
270,"$10,668.97","$11,181.90"
271,"$10,915.69","$11,178.27"
272,"$11,064.46","$11,207.82"
273,"$11,296.36","$11,263.01"
274,"$11,384.18","$11,354.74"
275,"$11,555.36","$11,464.11"
276,"$11,425.90","$11,590.33"
277,"$11,429.51","$11,692.65"
278,"$11,495.35","$11,773.64"
279,"$11,322.12","$11,842.20"
280,"$11,358.10","$11,876.83"
281,"$11,483.36","$11,894.93"
282,"$11,742.04","$11,914.05"
283,"$11,916.33","$11,961.90"
284,"$12,823.69","$12,035.38"
285,"$12,965.89","$12,226.87"
286,"$12,931.54","$12,458.72"
287,"$13,108.06","$12,687.10"
288,"$13,031.17","$12,912.26"
289,"$13,075.25","$13,097.34"
290,"$13,654.22","$13,251.44"
291,"$13,271.29","$13,441.42"
292,"$13,437.88","$13,566.36"
293,"$13,546.52","$13,673.57"
294,"$13,781.00","$13,768.90"
